category,fraction,average_dot_product,variance,second_best_category
Water Bottle,0.2820179495512612,0.27598995,0.0007523106,Plastic Bottle
Wine Bottle,0.23969400764980875,0.25843495,0.00069186545,Wine Bottles
Soda Bottle,0.12094697632559186,0.25868565,0.0005580213,Beer Bottle
Plastic Bottle,0.08542286442838928,0.261563,0.0006437673,Plastic Bottles
Water Bottles,0.023449413764655883,0.26661247,0.0006514023,Water Bottle
Wine Bottles,0.07859803504912377,0.25746557,0.0006938284,Wine Bottle
Beer Bottle,0.10287242818929526,0.25171706,0.0006172486,Beer Bottles
Soda Bottles,0.0414489637759056,0.26312226,0.0005781268,Soda Bottle
Beer Bottles,0.012049698757531061,0.24543484,0.00046948477,Beer Bottle
Plastic Bottles,0.01349966250843729,0.23893091,0.00059193507,Plastic Bottle
