file,label
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003262.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001667.jpg,Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001873.jpg,Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001262.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000582.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003877.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003323.jpg,Large Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000707.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001100.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001001.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003021.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003729.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004508.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004481.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004707.jpg,Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002708.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001137.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000583.jpg,Large Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000849.jpg,Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003706.jpg,Large Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001555.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003888.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002453.jpg,Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004395.jpg,Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003006.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001017.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001241.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001905.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002405.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002710.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000700.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000698.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000917.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000460.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004383.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003757.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004929.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003105.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001125.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003699.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001510.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001700.jpg,Large Beer Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002244.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002673.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004460.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000146.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002017.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000531.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002937.jpg,Large Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002979.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004604.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003377.jpg,Large Water Bottles
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002059.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003956.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001588.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004379.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001056.jpg,Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003217.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004584.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004672.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001690.jpg,Small Wine Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004544.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002097.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003754.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002492.jpg,Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004439.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00003998.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000251.jpg,Small Water Bottles
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00004969.jpg,Large Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001762.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001815.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000296.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001359.jpg,Large Water Bottles
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00001906.jpg,Large Water Bottles
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00000524.jpg,Small Plastic Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002841.jpg,Small Water Bottle
/tmp/tmpi7guiy4b/Bottle Images/Bottle Images/Water Bottle/00002561.jpg,Small Water Bottle
