category,fraction,average_dot_product,variance,second_best_category
Large Water Bottle,0.08992275193120172,0.2770239,0.0008149729,Water Bottle
Wine Bottle,0.19102022449438763,0.25933066,0.00065296673,Large Wine Bottle
Large Plastic Bottle,0.044248893777655555,0.26383215,0.0007238959,Plastic Bottle
Water Bottle,0.18749531261718458,0.2769965,0.0007450765,Large Water Bottle
Plastic Bottle,0.05929851753706157,0.26211208,0.00063052506,Large Plastic Bottle
Large Water Bottles,0.007524811879703008,0.2716713,0.0005693974,Water Bottles
Large Wine Bottle,0.042523936901577464,0.2601688,0.0009188464,Wine Bottle
Soda Bottle,0.1120471988200295,0.25897235,0.00053454103,Beer Bottle
Wine Bottles,0.06134846628834279,0.26030928,0.0006251316,Large Wine Bottles
Large Beer Bottle,0.013524661883452914,0.24725601,0.00043474857,Beer Bottle
Large Soda Bottle,0.0041998950026249345,0.2685846,0.0009279194,Soda Bottle
Beer Bottle,0.087572810679733,0.2539412,0.00060380023,Beer Bottles
Water Bottles,0.016424589385265368,0.26586315,0.00068211084,Water Bottle
Soda Bottles,0.03714907127321817,0.2633409,0.00052377384,Large Soda Bottles
Large Wine Bottles,0.015199620009499763,0.2516143,0.00083218125,Wine Bottles
Large Plastic Bottles,0.003649908752281193,0.2396993,0.0007202919,Plastic Bottles
Beer Bottles,0.009974750631234219,0.24828334,0.0004600917,Beer Bottle
Plastic Bottles,0.010449738756531086,0.24075876,0.0005667974,Plastic Bottle
Large Soda Bottles,0.004649883752906177,0.26098302,0.0010829946,Soda Bottles
Large Beer Bottles,0.0017749556261093472,0.23328938,0.00036481064,Beer Bottles
