file,label
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003262.jpg,Large Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001667.jpg,Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001873.jpg,Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001262.jpg,Small Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00000582.jpg,Beverage Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003877.jpg,Small Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003323.jpg,Large Plastic Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00000707.jpg,Medium Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001100.jpg,Small Plastic Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001001.jpg,Beverage Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003021.jpg,Medium Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003729.jpg,Medium Plastic Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00004508.jpg,Tiny Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00004481.jpg,Tiny Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00004707.jpg,Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00002708.jpg,Medium Water Bottles
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001137.jpg,Medium Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00000583.jpg,Large Plastic Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00000849.jpg,Beverage Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003706.jpg,Beverage Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001555.jpg,Small Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003888.jpg,Small Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00002453.jpg,Beverage Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00004395.jpg,Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00003006.jpg,Small Plastic Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001017.jpg,Small Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001241.jpg,Medium Plastic Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00001905.jpg,Medium Water Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00002405.jpg,Tiny Wine Bottle
/tmp/tmpu80aaggy/Bottle Images/Bottle Images/Water Bottle/00002710.jpg,Small Water Bottle
