file,label
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00003262.jpg,Large Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00001667.jpg,Wine Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00001873.jpg,Wine Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00001262.jpg,Small Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00000582.jpg,Small Wine Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00003877.jpg,Small Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00003323.jpg,Large Plastic Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00000707.jpg,Medium Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00001100.jpg,Small Plastic Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00001001.jpg,Medium Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00003021.jpg,Medium Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00003729.jpg,Medium Plastic Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00004508.jpg,Small Wine Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00004481.jpg,Small Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00004707.jpg,Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00002708.jpg,Medium Water Bottles
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00001137.jpg,Medium Water Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00000583.jpg,Large Plastic Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00000849.jpg,Medium Wine Bottle
/tmp/tmp0u_lq5fe/Bottle Images/Bottle Images/Water Bottle/00003706.jpg,Large Wine Bottle
